Non targets;;;
hsa-miR-135a-5p;4005;X;Functional MTI
hsa-miR-137;4005;X;Functional MTI
hsa-miR-138-5p;1027;X;Functional MTI
hsa-miR-140-5p;1027;X;Functional MTI
hsa-miR-141-5p;1027;X;Functional MTI
hsa-miR-142-5p;1027;X;Functional MTI
hsa-miR-143-5p;1027;X;Functional MTI
hsa-miR-144-5p;1027;X;Functional MTI
hsa-miR-145-5p;1027;X;Functional MTI
hsa-miR-152-5p;1027;X;Functional MTI
hsa-miR-153-3p;1027;X;Functional MTI
hsa-miR-153-5p;1027;X;Functional MTI
hsa-miR-191-5p;1027;X;Functional MTI
hsa-miR-9-5p;1027;X;Functional MTI
hsa-miR-9-5p;1027;X;Functional MTI
hsa-miR-9-5p;1027;X;Functional MTI
hsa-miR-125a-5p;1027;X;Functional MTI
hsa-miR-125b-5p;1027;X;Functional MTI
hsa-miR-126-5p;1027;X;Functional MTI
hsa-miR-127-5p;1027;X;Functional MTI
hsa-miR-129-5p;1027;X;Functional MTI
hsa-miR-134-5p;1027;X;Functional MTI
hsa-miR-136-5p;1027;X;Functional MTI
hsa-miR-138-5p;1027;X;Functional MTI
hsa-miR-146a-5p;1027;X;Functional MTI
hsa-miR-149-5p;10018;X;Functional MTI
hsa-miR-150-5p;10018;X;Functional MTI
hsa-miR-154-5p;6648;X;Functional MTI
hsa-miR-184;4312;X;Functional MTI
hsa-miR-185-5p;1027;X;Functional MTI
hsa-miR-186-5p;1027;X;Functional MTI
hsa-miR-188-5p;1027;X;Functional MTI
hsa-miR-190a-5p;1027;X;Functional MTI
hsa-miR-193a-5p;1027;X;Functional MTI
hsa-miR-194-5p;1027;X;Functional MTI
hsa-miR-195-5p;1027;X;Functional MTI
hsa-miR-206;1027;X;Functional MTI
hsa-miR-320a;1027;X;Functional MTI
hsa-miR-200c-5p;1027;X;Functional MTI
hsa-miR-1-5p;1027;X;Functional MTI
hsa-miR-155-5p;1027;X;Functional MTI
hsa-miR-181b-5p;1027;X;Functional MTI
hsa-miR-128-2-5p;1027;X;Functional MTI
hsa-miR-194-5p;1027;X;Functional MTI
hsa-miR-106b-5p;1027;X;Functional MTI
hsa-miR-29c-5p;1027;X;Functional MTI
hsa-miR-30c-5p;1027;X;Functional MTI
hsa-miR-200a-5p;1027;X;Functional MTI
hsa-miR-302a-5p;1027;X;Functional MTI
hsa-miR-101-3p;1027;X;Functional MTI
hsa-miR-219a-5p;1027;X;Functional MTI
hsa-miR-34b-5p;1027;X;Functional MTI
hsa-miR-34c-5p;1027;X;Functional MTI
hsa-miR-299-5p;1027;X;Functional MTI
hsa-miR-301a-5p;1027;X;Functional MTI
hsa-miR-99b-5p;1027;X;Functional MTI
hsa-miR-296-5p;1027;X;Functional MTI
hsa-miR-130b-5p;10018;X;Functional MTI
hsa-miR-30e-5p;10018;X;Functional MTI
hsa-miR-26a-5p;10018;X;Functional MTI
hsa-miR-361-5p;90427;X;Functional MTI
hsa-miR-362-5p;23411;X;Functional MTI
hsa-miR-363-5p;23411;X;Functional MTI
hsa-miR-365a-5p;2146;X;Functional MTI
hsa-miR-365b-5p;2146;X;Functional MTI
hsa-miR-302b-5p;2146;X;Functional MTI
hsa-miR-302c-5p;2146;X;Functional MTI
hsa-miR-302d-5p;2146;X;Functional MTI
hsa-miR-367-5p;3205;X;Functional MTI
hsa-miR-376c-5p;9537;X;Functional MTI
hsa-miR-369-5p;5292;X;Functional MTI
hsa-miR-370-5p;3198;X;Functional MTI
